K,n_per_pair,n_features,n_mul,n_d2,n_only_mul,n_only_d2,n_both,n_union,n_in_truth,J_mul,J_d2,J_union
2,10,7,0,0,0,0,0,0,0,0.0,0.0,0.0
2,15,7,0,0,0,0,0,0,0,0.0,0.0,0.0
2,20,7,0,0,0,0,0,0,0,0.0,0.0,0.0
2,25,6,0,0,0,0,0,0,0,0.0,0.0,0.0
2,30,5,0,0,0,0,0,0,0,0.0,0.0,0.0
2,5,5,0,0,0,0,0,0,0,0.0,0.0,0.0
3,10,4,0,0,0,0,0,0,0,0.0,0.0,0.0
3,15,7,0,0,0,0,0,0,0,0.0,0.0,0.0
3,20,7,0,0,0,0,0,0,0,0.0,0.0,0.0
3,25,7,0,0,0,0,0,0,0,0.0,0.0,0.0
3,30,7,0,0,0,0,0,0,0,0.0,0.0,0.0
3,5,4,0,0,0,0,0,0,0,0.0,0.0,0.0
4,10,5,0,0,0,0,0,0,0,0.0,0.0,0.0
4,15,7,0,0,0,0,0,0,0,0.0,0.0,0.0
4,20,11,3,3,0,0,3,3,0,0.0,0.0,0.0
4,25,7,0,0,0,0,0,0,0,0.0,0.0,0.0
4,30,8,0,0,0,0,0,0,0,0.0,0.0,0.0
4,5,4,0,0,0,0,0,0,0,0.0,0.0,0.0
5,10,7,6,6,0,0,6,6,0,0.0,0.0,0.0
5,15,9,21,21,0,0,21,21,1,0.04,0.04,0.04
5,20,12,8,8,0,0,8,8,1,0.08333333333333333,0.08333333333333333,0.08333333333333333
5,25,8,15,15,0,0,15,15,1,0.05263157894736842,0.05263157894736842,0.05263157894736842
5,30,9,7,7,0,0,7,7,1,0.09090909090909091,0.09090909090909091,0.09090909090909091
5,5,4,1,1,0,0,1,1,1,0.2,0.2,0.2
6,10,4,3,3,0,0,3,3,1,0.125,0.125,0.125
6,15,9,8,8,0,0,8,8,1,0.07692307692307693,0.07692307692307693,0.07692307692307693
6,20,5,3,3,0,0,3,3,2,0.2857142857142857,0.2857142857142857,0.2857142857142857
6,25,6,6,6,0,0,6,6,1,0.09090909090909091,0.09090909090909091,0.09090909090909091
6,30,8,2,2,0,0,2,2,1,0.14285714285714285,0.14285714285714285,0.14285714285714285
6,5,4,1,1,0,0,1,1,1,0.16666666666666666,0.16666666666666666,0.16666666666666666
7,10,9,6,6,0,0,6,6,2,0.18181818181818182,0.18181818181818182,0.18181818181818182
7,15,6,4,4,0,0,4,4,1,0.1,0.1,0.1
7,20,7,1,1,0,0,1,1,1,0.14285714285714285,0.14285714285714285,0.14285714285714285
7,25,7,4,4,0,0,4,4,1,0.1,0.1,0.1
7,30,13,48,48,0,0,48,48,3,0.057692307692307696,0.057692307692307696,0.057692307692307696
7,5,4,1,1,0,0,1,1,1,0.14285714285714285,0.14285714285714285,0.14285714285714285
8,10,6,1,1,0,0,1,1,1,0.125,0.125,0.125
8,15,6,5,5,0,0,5,5,2,0.18181818181818182,0.18181818181818182,0.18181818181818182
8,20,10,26,26,0,0,26,26,2,0.0625,0.0625,0.0625
8,25,8,9,9,0,0,9,9,4,0.3076923076923077,0.3076923076923077,0.3076923076923077
8,30,5,5,5,0,0,5,5,3,0.3,0.3,0.3
8,5,4,3,3,0,0,3,3,3,0.375,0.375,0.375
9,10,6,4,4,0,0,4,4,3,0.3,0.3,0.3
9,15,5,1,1,0,0,1,1,1,0.1111111111111111,0.1111111111111111,0.1111111111111111
9,20,11,9,9,0,0,9,9,1,0.058823529411764705,0.058823529411764705,0.058823529411764705
9,25,6,5,5,0,0,5,5,2,0.16666666666666666,0.16666666666666666,0.16666666666666666
9,30,8,12,12,0,0,12,12,1,0.05,0.05,0.05
9,5,3,1,1,0,0,1,1,1,0.1111111111111111,0.1111111111111111,0.1111111111111111
