K,n_per_pair,n_pos,n_total,feyn_J_strict,feyn_J_hess,feyn_J_combo,feyn_J_loose,plink_J,feyn_n_pairs,feyn_n_hess,feyn_n_combo,feyn_n_feats,plink_n,feyn_s,plink_s,elapsed_s
2,5,10,30,0.0,0.0,0.0,1.0,0.0,0,0,0,3,0,25.2,0.4,25.7
2,10,20,60,0.0,0.0,0.0,1.0,0.0,0,0,0,3,0,31.1,1.1,32.4
2,15,30,90,0.0,0.0,0.0,1.0,0.0,0,0,0,3,0,35.1,1.7,37.0
2,20,40,120,0.0,0.0,0.0,1.0,0.0,0,0,0,3,0,38.0,2.2,40.4
2,25,50,150,0.0,0.0,0.0,1.0,1.0,0,0,0,3,2,36.6,2.8,39.7
2,30,60,180,0.0,0.0,0.0,1.0,1.0,0,0,0,3,2,38.4,3.1,41.7
3,5,15,45,0.0,0.0,0.0,0.0,0.0,0,0,0,4,0,29.0,0.7,29.9
3,10,30,90,0.0,0.0,0.0,0.6666666666666666,0.0,0,0,0,7,0,32.6,1.5,34.3
3,15,45,135,0.0,0.0,0.0,1.0,0.3333333333333333,0,0,0,5,1,36.3,2.6,39.2
3,20,60,180,0.0,0.0,0.0,0.3333333333333333,0.05555555555555555,0,0,0,6,54,37.9,3.0,41.1
3,25,75,225,0.25,0.25,0.25,1.0,1.0,2,2,2,5,3,39.9,3.8,43.9
3,30,90,270,0.25,0.25,0.25,1.0,1.0,2,2,2,6,3,41.3,4.2,45.6
4,5,20,60,0.0,0.0,0.0,0.0,0.0,0,0,0,7,0,37.3,1.1,38.6
4,10,40,120,0.0,0.0,0.0,0.0,0.0,1,1,1,8,0,44.9,2.5,47.6
4,15,60,180,0.5,0.5,0.5,0.75,0.5,5,5,5,9,2,50.1,3.6,54.0
4,20,80,240,0.05,0.05,0.05,0.75,1.0,17,17,17,10,4,48.2,4.3,52.7
4,25,100,300,0.2,0.2,0.2,0.5,0.12903225806451613,2,2,2,6,31,51.3,5.1,56.7
4,30,120,360,0.0,0.0,0.0,0.5,0.0851063829787234,0,0,0,6,47,51.3,5.8,57.4
5,5,25,75,0.0,0.0,0.0,0.0,0.0,0,0,0,5,0,38.6,1.4,40.2
5,10,50,150,0.0,0.0,0.0,0.0,0.0,0,0,0,9,28,46.8,2.8,49.8
5,15,75,225,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.2,0.2,3,3,3,8,7,49.2,4.4,53.8
5,20,100,300,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.6,0.8,5,5,5,7,4,48.0,5.3,53.5
5,25,125,375,0.08108108108108109,0.08108108108108109,0.08108108108108109,0.6,0.07142857142857142,35,35,35,14,55,53.5,6.0,59.8
5,30,150,450,0.0,0.0,0.0,0.8,0.8333333333333334,1,1,1,9,6,54.6,6.1,61.0
6,5,30,90,0.0,0.0,0.0,0.0,0.0,0,0,0,9,0,43.5,1.9,45.7
6,10,60,180,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.5,0.0,8,8,8,6,0,45.1,2.8,48.1
6,15,90,270,0.21428571428571427,0.21428571428571427,0.21428571428571427,0.5,0.3333333333333333,11,11,11,7,2,46.7,4.2,51.2
6,20,120,360,0.3,0.3,0.3,0.5,0.0017873100983020554,7,7,7,7,1115,52.0,5.4,57.6
6,25,150,450,0.07407407407407407,0.07407407407407407,0.07407407407407407,0.6666666666666666,0.02459016393442623,52,52,52,13,119,57.7,7.0,65.0
6,30,180,540,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.6666666666666666,0.005442176870748299,9,9,9,7,733,54.7,7.2,62.2
7,5,35,105,0.0,0.0,0.0,0.0,0.0,0,0,0,7,0,41.2,2.1,43.5
7,10,70,210,0.1875,0.1875,0.1875,0.42857142857142855,0.0,12,12,12,8,43,50.2,4.0,54.4
7,15,105,315,0.625,0.625,0.625,0.7142857142857143,0.2857142857142857,6,6,6,4,2,47.4,5.2,52.9
7,20,140,420,0.18518518518518517,0.18518518518518517,0.18518518518518517,0.7142857142857143,0.2857142857142857,25,25,25,10,2,51.9,6.1,58.3
7,25,175,525,0.11363636363636363,0.11363636363636363,0.11363636363636363,0.7142857142857143,0.2,42,42,42,11,5,62.5,7.2,69.9
7,30,210,630,0.0,0.0,0.0,0.7142857142857143,0.75,8,8,8,10,7,53.9,8.6,62.8
8,5,40,120,0.25,0.25,0.25,0.375,0.0,7,7,7,5,0,42.9,2.4,45.5
8,10,80,240,0.75,0.75,0.75,0.75,0.0,6,6,6,6,0,45.8,4.1,50.2
8,15,120,360,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.75,0.2222222222222222,9,9,9,7,3,52.9,6.2,59.3
8,20,160,480,0.1875,0.1875,0.1875,0.75,0.2222222222222222,30,30,30,9,3,55.8,7.2,63.4
8,25,200,600,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.75,0.03333333333333333,9,9,9,5,54,54.7,7.6,62.6
8,30,240,720,0.05128205128205128,0.05128205128205128,0.05128205128205128,0.5,0.0125,33,33,33,11,154,55.5,9.0,64.8
9,5,45,135,0.23076923076923078,0.23076923076923078,0.23076923076923078,0.3333333333333333,0.0,7,7,7,5,0,47.7,2.6,50.5
9,10,90,270,0.6,0.6,0.6,0.6666666666666666,0.0,7,7,7,8,0,49.0,4.5,53.7
9,15,135,405,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,3,3,3,8,3,48.6,6.0,54.8
9,20,180,540,0.35294117647058826,0.35294117647058826,0.35294117647058826,0.6666666666666666,0.21428571428571427,14,14,14,6,8,52.4,7.5,60.2
9,25,225,675,0.375,0.375,0.375,0.6666666666666666,0.23076923076923078,13,13,13,7,7,53.3,9.3,62.8
9,30,270,810,0.0,0.0,0.0,0.6666666666666666,0.06382978723404255,2,2,2,7,41,56.4,10.9,67.7
