K,n_per_pair,n_pos,n_total,feyn_J_eng,feyn_J_strict,feyn_J_hess,feyn_J_combo,feyn_J_loose,plink_J,feyn_n_eng,feyn_n_pairs,feyn_n_hess,feyn_n_feats,plink_n,feyn_s,plink_s,elapsed_s
2,5,10,30,1.0,0.0,0.0,1.0,0.0,0.0,2,0,0,0,0,32.4,0.4,33.0
2,10,20,60,1.0,0.0,0.0,1.0,0.0,0.0,2,0,0,0,0,38.0,1.3,39.5
2,15,30,90,1.0,0.0,0.0,1.0,0.0,0.0,2,0,0,0,0,40.0,1.9,42.1
2,20,40,120,1.0,0.0,0.0,1.0,0.0,0.0,2,0,0,0,0,41.7,2.4,44.4
2,25,50,150,1.0,0.0,0.0,1.0,0.0,1.0,2,0,0,0,2,44.1,3.2,47.5
2,30,60,180,1.0,0.0,0.0,1.0,0.0,1.0,2,0,0,0,2,44.7,3.8,48.7
3,5,15,45,1.0,0.0,0.0,1.0,0.0,0.0,3,0,0,0,0,35.7,0.8,36.8
3,10,30,90,1.0,0.0,0.0,1.0,0.0,0.0,3,0,0,0,0,39.1,1.6,40.9
3,15,45,135,1.0,0.0,0.0,1.0,0.0,0.3333333333333333,3,0,0,0,1,45.2,3.1,48.5
3,20,60,180,1.0,0.0,0.0,1.0,0.0,0.05555555555555555,3,0,0,0,54,43.9,3.5,47.7
3,25,75,225,1.0,0.0,0.0,1.0,0.0,1.0,3,0,0,0,3,43.8,4.3,48.4
3,30,90,270,1.0,0.0,0.0,1.0,0.0,1.0,3,0,0,0,3,46.7,4.9,51.9
4,5,20,60,1.0,0.0,0.0,1.0,0.0,0.0,4,0,0,0,0,35.1,1.0,36.4
4,10,40,120,1.0,0.0,0.0,1.0,0.0,0.0,4,0,0,0,0,45.0,2.2,47.5
4,15,60,180,1.0,0.0,0.0,1.0,0.0,0.5,4,0,0,0,2,41.6,3.5,45.3
4,20,80,240,1.0,0.0,0.0,1.0,0.0,1.0,4,0,0,0,4,46.0,4.4,50.7
4,25,100,300,1.0,0.0,0.0,1.0,0.0,0.12903225806451613,4,0,0,0,31,46.4,4.6,51.2
4,30,120,360,1.0,0.0,0.0,1.0,0.0,0.0851063829787234,4,0,0,0,47,49.2,5.7,55.1
5,5,25,75,1.0,0.0,0.0,1.0,0.0,0.0,5,0,0,0,0,36.9,1.5,38.6
5,10,50,150,1.0,0.0,0.0,1.0,0.0,0.0,5,0,0,0,28,40.5,2.9,43.6
5,15,75,225,1.0,0.0,0.0,1.0,0.0,0.2,5,0,0,0,7,46.4,3.6,50.2
5,20,100,300,0.8,0.0,0.0,0.8,0.0,0.8,4,0,0,1,4,44.9,5.2,50.2
5,25,125,375,1.0,0.0,0.0,1.0,0.0,0.07142857142857142,5,0,0,0,55,48.1,5.7,54.1
5,30,150,450,0.4,0.16666666666666666,0.16666666666666666,0.5,0.6,0.8333333333333334,2,2,2,5,6,48.6,6.7,55.6
6,5,30,90,1.0,0.0,0.0,1.0,0.0,0.0,6,0,0,0,0,43.6,1.9,45.7
6,10,60,180,1.0,0.0,0.0,1.0,0.0,0.0,6,0,0,1,0,45.1,3.2,48.5
6,15,90,270,1.0,0.0,0.0,1.0,0.0,0.3333333333333333,6,0,0,5,2,44.6,4.8,49.6
6,20,120,360,0.8333333333333334,0.0,0.0,0.4166666666666667,0.0,0.0017873100983020554,5,6,6,6,1115,49.9,5.9,56.0
6,25,150,450,0.8333333333333334,0.09090909090909091,0.09090909090909091,0.5454545454545454,0.16666666666666666,0.02459016393442623,5,6,6,5,119,49.3,6.6,56.2
6,30,180,540,0.8333333333333334,0.0,0.0,0.8333333333333334,0.0,0.005442176870748299,5,0,0,2,733,51.4,7.9,59.6
7,5,35,105,0.7142857142857143,0.0,0.0,0.7142857142857143,0.0,0.0,5,0,0,1,0,40.8,2.0,43.0
7,10,70,210,1.0,0.0,0.0,1.0,0.0,0.0,7,0,0,5,43,46.3,3.9,50.5
7,15,105,315,0.8571428571428571,0.0,0.0,0.8571428571428571,0.0,0.2857142857142857,6,0,0,4,2,48.4,4.6,53.2
7,20,140,420,1.0,0.0,0.0,1.0,0.0,0.2857142857142857,7,0,0,2,2,51.5,6.0,57.7
7,25,175,525,0.8571428571428571,0.0,0.0,0.8571428571428571,0.0,0.2,6,0,0,1,5,49.5,7.4,57.1
7,30,210,630,1.0,0.0,0.0,1.0,0.0,0.75,7,0,0,2,7,50.5,8.0,58.7
8,5,40,120,0.625,0.0,0.0,0.625,0.125,0.0,5,0,0,2,0,43.1,2.2,45.5
8,10,80,240,0.5,0.0,0.0,0.5,0.375,0.0,4,0,0,4,0,45.3,4.4,49.9
8,15,120,360,0.875,0.0,0.0,0.875,0.0,0.2222222222222222,7,0,0,1,3,46.8,6.0,53.1
8,20,160,480,0.875,0.0,0.0,0.875,0.0,0.2222222222222222,7,0,0,2,3,48.2,7.5,56.0
8,25,200,600,0.875,0.0,0.0,0.6363636363636364,0.0,0.03333333333333333,7,3,3,5,54,52.9,7.0,60.2
8,30,240,720,0.875,0.0,0.0,0.875,0.0,0.0125,7,0,0,1,154,42.4,8.6,51.3
9,5,45,135,0.6666666666666666,0.0,0.0,0.6666666666666666,0.0,0.0,6,0,0,0,0,35.4,2.5,38.1
9,10,90,270,0.5555555555555556,0.0,0.0,0.5555555555555556,0.0,0.0,5,0,0,1,0,38.8,4.2,43.3
9,15,135,405,0.7777777777777778,0.0,0.0,0.7777777777777778,0.0,0.3333333333333333,7,0,0,0,3,42.2,5.7,48.1
9,20,180,540,0.4444444444444444,0.2,0.2,0.6,0.3333333333333333,0.21428571428571427,4,3,3,5,8,41.4,6.9,48.5
9,25,225,675,0.5555555555555556,0.05263157894736842,0.05263157894736842,0.3157894736842105,0.1111111111111111,0.23076923076923078,5,11,11,6,7,42.7,8.2,51.3
9,30,270,810,0.7777777777777778,0.0,0.0,0.7777777777777778,0.0,0.06382978723404255,7,0,0,0,41,43.8,9.6,53.7
