K,n_per_pair,n_pos,n_total,feyn_J_eng,feyn_J_eng_cov,truth_coverable,feyn_J_loose,plink_J,feyn_n_eng,feyn_n_singletons,plink_n,feyn_s,plink_s,elapsed_s
2,5,10,30,0.0,,0,0.0,0.0,0,1,0,34.2,0.0,34.5
2,10,20,60,1.0,1.0,2,0.0,0.0,2,0,0,36.5,0.0,36.7
2,15,30,90,1.0,1.0,2,0.0,0.0,2,0,0,38.1,0.1,38.3
2,20,40,120,1.0,1.0,2,0.0,0.0,2,0,0,36.2,0.1,36.5
2,25,50,150,1.0,1.0,2,0.0,1.0,2,0,2,42.5,0.1,42.9
2,30,60,180,1.0,1.0,2,0.0,1.0,2,0,2,46.5,0.1,46.8
3,5,15,45,0.0,,0,0.0,0.0,0,1,0,40.6,0.0,40.8
3,10,30,90,1.0,1.0,3,0.0,0.0,3,0,0,37.9,0.1,38.2
3,15,45,135,1.0,1.0,3,0.0,0.3333333333333333,3,0,1,47.2,0.1,47.6
3,20,60,180,1.0,1.0,3,0.0,0.05555555555555555,3,0,54,47.2,0.1,47.5
3,25,75,225,1.0,1.0,3,0.0,1.0,3,0,3,43.0,0.1,43.4
3,30,90,270,1.0,1.0,3,0.0,1.0,3,0,3,40.2,0.2,40.7
4,5,20,60,0.0,,0,0.0,0.0,3,1,0,32.7,0.0,33.0
4,10,40,120,0.0,,0,0.0,0.0,0,4,0,35.5,0.0,35.8
4,15,60,180,1.0,1.0,4,0.0,0.5,4,0,2,39.3,0.1,39.6
4,20,80,240,0.75,0.75,4,0.0,1.0,3,1,4,44.9,0.1,45.2
4,25,100,300,1.0,1.0,4,0.0,0.13333333333333333,4,0,30,45.9,0.1,46.2
4,30,120,360,1.0,1.0,4,0.0,0.10256410256410256,4,0,39,41.4,0.1,41.8
5,5,25,75,0.2,1.0,1,0.0,0.0,1,1,0,41.3,0.1,41.6
5,10,50,150,0.16666666666666666,0.5,1,0.0,0.0,2,2,27,43.2,0.1,43.5
5,15,75,225,1.0,1.0,5,0.0,0.4,5,0,2,42.6,0.1,42.9
5,20,100,300,1.0,1.0,5,0.0,0.8,5,0,4,42.0,0.1,42.4
5,25,125,375,1.0,1.0,5,0.0,0.08163265306122448,5,0,48,43.0,0.1,43.3
5,30,150,450,1.0,1.0,5,0.0,1.0,5,0,5,45.3,0.3,45.8
6,5,30,90,0.42857142857142855,0.75,3,0.0,0.0,4,1,0,38.7,0.1,39.1
6,10,60,180,0.5,1.0,3,0.0,0.0,3,1,0,35.5,0.1,35.8
6,15,90,270,0.5,1.0,3,0.16666666666666666,0.0,3,2,0,40.5,0.1,40.8
6,20,120,360,0.42857142857142855,0.75,3,0.0,0.0,4,1,1106,41.9,0.1,42.2
6,25,150,450,1.0,1.0,6,0.0,0.02608695652173913,6,0,112,43.6,0.2,44.1
6,30,180,540,0.8333333333333334,0.8333333333333334,6,0.16666666666666666,0.06779661016949153,5,2,57,42.3,0.2,42.8
7,5,35,105,0.1111111111111111,0.3333333333333333,1,0.0,0.0,3,0,0,38.8,0.1,39.0
7,10,70,210,0.5714285714285714,0.8,5,0.0,0.0,4,1,43,43.6,0.1,44.0
