K,n_per_pair,n_pos,n_total,feyn_J_strict,feyn_J_hess,feyn_J_combo,feyn_J_loose,plink_J,feyn_n_pairs,feyn_n_hess,feyn_n_combo,feyn_n_feats,plink_n,feyn_s,plink_s,elapsed_s
2,5,10,30,0.0,0.0,0.0,0.0,0.0,0,0,0,5,0,22.9,0.4,23.5
2,10,20,60,0.0,0.0,0.0,0.0,0.0,0,0,0,7,0,30.0,1.2,31.4
2,15,30,90,0.0,0.0,0.0,0.0,0.6666666666666666,0,0,0,7,3,32.7,1.8,34.6
2,20,40,120,0.0,0.0,0.0,0.0,0.0006557377049180328,0,0,0,7,3050,34.7,2.3,37.2
2,25,50,150,0.0,0.0,0.0,0.0,0.000898069151324652,0,0,0,6,2227,38.3,3.1,41.7
2,30,60,180,0.0,0.0,0.0,0.5,0.0009891196834817012,0,0,0,5,2022,39.2,3.5,43.0
3,5,15,45,0.0,0.0,0.0,0.0,0.0,0,0,0,4,0,28.3,0.9,29.4
3,10,30,90,0.0,0.0,0.0,0.0,0.0,0,0,0,4,115,34.0,2.1,36.2
3,15,45,135,0.0,0.0,0.0,0.0,0.000927070457354759,0,0,0,7,3236,36.8,2.9,39.9
3,20,60,180,0.0,0.0,0.0,0.0,0.000281610813855252,0,0,0,7,10653,36.8,3.6,40.7
3,25,75,225,0.0,0.0,0.0,0.0,8.884413776764296e-05,0,0,0,7,33767,38.6,4.0,42.7
3,30,90,270,0.0,0.0,0.0,0.0,5.6779468544174426e-05,0,0,0,7,52836,38.7,4.6,43.5
4,5,20,70,0.0,0.0,0.0,0.0,0.0,0,0,0,4,15,29.7,1.4,31.3
4,10,40,140,0.0,0.0,0.0,0.0,0.0,0,0,0,5,1525,43.7,3.1,47.0
4,15,60,210,0.0,0.0,0.0,0.0,0.0,0,0,0,7,10814,37.7,4.0,41.9
4,20,80,280,0.0,0.0,0.0,0.0,0.0001225865767698437,3,3,3,11,32630,39.6,4.6,44.5
4,25,100,350,0.0,0.0,0.0,0.0,3.329061038334138e-05,0,0,0,7,120154,40.4,5.5,46.1
4,30,120,420,0.0,0.0,0.0,0.0,3.3046107581603235e-05,0,0,0,8,121043,41.7,6.1,48.1
5,5,25,93,0.2,0.2,0.2,0.2,0.0,1,1,1,4,90,41.1,2.1,43.4
5,10,50,180,0.0,0.0,0.0,0.0,0.00019719976336028398,6,6,6,7,5067,36.9,3.3,40.4
5,15,75,267,0.04,0.04,0.04,0.2,4.7376524931896245e-05,21,21,21,9,42212,39.7,3.9,44.3
5,20,100,354,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.2,7.098441182316363e-05,8,8,8,12,70438,43.3,4.7,48.3
5,25,125,441,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.2,3.053155436143254e-05,15,15,15,8,163765,47.2,6.0,53.5
5,30,150,538,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.2,1.6245370069530183e-05,7,7,7,9,307780,49.4,7.6,57.4
6,5,30,114,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.0,1,1,1,4,87,35.2,2.1,37.5
6,10,60,230,0.125,0.125,0.125,0.16666666666666666,0.00027459954233409613,3,3,3,4,10922,42.2,3.8,46.1
6,15,90,342,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.16666666666666666,4.988858216649483e-05,8,8,8,9,60131,46.7,5.1,52.1
6,20,120,452,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.3333333333333333,3.5832661470930756e-05,3,3,3,5,167445,43.4,6.2,49.9
6,25,150,562,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.16666666666666666,2.2061743466046977e-05,6,6,6,6,271964,42.9,7.0,50.2
6,30,180,696,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.16666666666666666,1.1697981513289882e-05,2,2,2,8,512909,49.5,9.1,58.9
7,5,35,133,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,1,1,1,4,537,36.3,2.7,39.2
7,10,70,272,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.42857142857142855,5.978239209278227e-05,6,6,6,9,50178,41.0,4.0,45.3
7,15,105,397,0.1,0.1,0.1,0.14285714285714285,2.8212325965214202e-05,4,4,4,6,141779,42.4,5.5,48.1
7,20,140,536,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,4.000411470894149e-05,1,1,1,7,174982,45.3,6.6,52.2
7,25,175,661,0.1,0.1,0.1,0.14285714285714285,1.482777538885841e-05,4,4,4,7,472087,45.2,8.3,53.8
7,30,210,808,0.057692307692307696,0.057692307692307696,0.057692307692307696,0.42857142857142855,1.0859734122680866e-05,48,48,48,13,644583,45.4,10.6,58.8
8,5,40,156,0.375,0.375,0.375,0.375,0.0,3,3,3,4,4704,36.1,3.5,39.8
8,10,80,320,0.125,0.125,0.125,0.125,4.52042781328825e-05,1,1,1,6,110606,42.0,4.4,46.6
8,15,120,480,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.25,2.2850144184409803e-05,5,5,5,6,218814,46.1,6.1,52.5
8,20,160,640,0.0625,0.0625,0.0625,0.375,2.2421650345573687e-05,26,26,26,10,356798,45.4,7.9,53.7
8,25,200,792,0.3076923076923077,0.3076923076923077,0.3076923076923077,0.625,1.377104603144274e-05,9,9,9,8,580929,46.4,10.1,56.9
8,30,240,966,0.3,0.3,0.3,0.375,1.0120330732408335e-05,5,5,5,5,790488,47.9,12.5,60.8
9,5,45,181,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.3333333333333333,0.00010702054794520547,1,1,1,3,9336,37.8,3.7,41.8
9,10,90,376,0.3,0.3,0.3,0.6666666666666666,6.320047189685683e-05,4,4,4,6,94933,41.7,5.6,47.6
9,15,135,557,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,2.060071690494829e-05,1,1,1,5,291249,43.2,7.6,51.1
9,20,180,736,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.1111111111111111,1.7829973373906428e-05,9,9,9,11,504768,46.5,9.9,56.8
9,25,225,923,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.3333333333333333,1.4474526441743248e-05,5,5,5,6,621782,49.2,11.4,60.8
9,30,270,1102,0.05,0.05,0.05,0.1111111111111111,1.0886131069018071e-05,12,12,12,8,826740,50.4,14.0,64.9
