K,n_per_pair,n_pos,n_total,feyn_J_strict,feyn_J_loose,feyn_n_pairs,feyn_n_feats,feyn_s,elapsed_s
2,5,10,30,0.0,0.0,0,5,26.7,26.9
2,10,20,60,0.0,0.0,0,5,29.0,29.1
2,15,30,90,0.0,0.0,0,6,33.5,33.7
2,20,40,120,0.0,0.0,0,7,71.1,71.4
2,25,50,150,0.125,0.5,7,6,56.1,56.8
2,30,60,180,0.25,0.5,3,5,37.5,37.8
3,5,15,45,0.0,0.0,0,5,29.7,29.9
3,10,30,90,0.0,0.0,0,5,34.9,35.1
3,15,45,135,0.0,0.0,0,7,38.4,38.6
3,20,60,180,0.0,0.0,0,6,38.3,38.6
3,25,75,225,0.2,0.3333333333333333,3,5,37.1,37.3
3,30,90,270,0.0,0.0,0,9,40.3,40.6
4,5,20,70,0.0,0.0,0,4,32.3,32.5
