K,n_per_pair,n_pos,n_total,feyn_J_strict,feyn_J_hess,feyn_J_combo,feyn_J_loose,plink_J,feyn_n_pairs,feyn_n_hess,feyn_n_combo,feyn_n_feats,plink_n,feyn_s,plink_s,elapsed_s
2,5,10,30,0.0,0.0,0.0,1.0,,0,0,0,4,0,114.1,0.0,114.3
2,10,20,60,0.0,0.0,0.0,1.0,,0,0,0,4,0,161.8,0.0,162.0
2,15,30,90,0.0,0.0,0.0,1.0,,0,0,0,4,0,167.6,0.0,167.7
2,20,40,120,0.0,0.0,0.0,1.0,,0,0,0,4,0,151.4,0.0,151.6
2,25,50,150,0.0,0.0,0.0,1.0,,0,0,0,4,0,155.4,0.0,155.6
2,30,60,180,0.0,0.0,0.0,1.0,,0,0,0,4,0,148.8,0.0,149.1
3,5,15,45,0.0,0.0,0.0,0.0,,0,0,0,6,0,150.4,0.0,150.6
3,10,30,90,0.2,0.2,0.2,0.3333333333333333,,3,3,3,6,0,156.6,0.0,156.8
3,15,45,135,0.0,0.0,0.0,0.0,,0,0,0,10,0,210.9,0.0,211.1
3,20,60,180,0.0,0.0,0.0,0.6666666666666666,,0,0,0,9,0,199.6,0.0,199.9
3,25,75,225,0.0,0.0,0.0,1.0,,0,0,0,6,0,172.8,0.0,173.1
3,30,90,270,0.0,0.0,0.0,0.6666666666666666,,0,0,0,8,0,189.7,0.0,190.0
4,5,20,70,0.0,0.0,0.0,0.0,,0,0,0,5,0,137.6,0.0,137.8
4,10,40,140,0.0,0.0,0.0,0.75,,0,0,0,10,0,159.4,0.0,159.7
4,15,60,210,0.0,0.0,0.0,0.5,,0,0,0,10,0,192.2,0.0,192.4
4,20,80,280,0.0,0.0,0.0,0.75,,0,0,0,8,0,212.1,0.0,212.3
4,25,100,350,0.0,0.0,0.0,0.5,,0,0,0,10,0,238.8,0.0,239.1
4,30,120,420,0.0,0.0,0.0,0.75,,0,0,0,9,0,255.6,0.0,255.8
5,5,25,93,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.2,,2,2,2,4,0,145.1,0.0,145.2
5,10,50,180,0.0,0.0,0.0,0.6,,0,0,0,9,0,181.4,0.0,181.6
5,15,75,267,0.0,0.0,0.0,0.8,,0,0,0,8,0,194.2,0.0,194.4
5,20,100,354,0.0,0.0,0.0,0.8,,0,0,0,8,0,236.5,0.0,236.9
5,25,125,441,0.0,0.0,0.0,0.8,,0,0,0,9,0,260.6,0.0,261.0
5,30,150,538,0.0,0.0,0.0,0.8,,0,0,0,8,0,268.0,0.0,268.4
6,5,30,114,0.0,0.0,0.0,0.5,,0,0,0,8,0,190.7,0.0,190.9
6,10,60,230,0.0,0.0,0.0,0.5,,0,0,0,9,0,201.3,0.0,201.5
6,15,90,342,0.0,0.0,0.0,0.6666666666666666,,0,0,0,8,0,216.8,0.0,217.1
6,20,120,452,0.0,0.0,0.0,0.6666666666666666,,0,0,0,8,0,225.3,0.0,225.6
6,25,150,562,0.0,0.0,0.0,0.6666666666666666,,0,0,0,8,0,227.9,0.0,228.2
6,30,180,696,0.0,0.0,0.0,0.6666666666666666,,0,0,0,8,0,358.2,0.0,358.5
7,5,35,133,0.0,0.0,0.0,0.2857142857142857,,0,0,0,9,0,310.1,0.0,310.4
7,10,70,272,0.0,0.0,0.0,0.7142857142857143,,0,0,0,9,0,314.1,0.0,314.3
7,15,105,397,0.0,0.0,0.0,0.5714285714285714,,0,0,0,11,0,304.7,0.0,305.1
7,20,140,536,0.0,0.0,0.0,0.8571428571428571,,0,0,0,9,0,212.2,0.0,212.5
7,25,175,661,0.0,0.0,0.0,0.8571428571428571,,0,0,0,9,0,244.4,0.0,244.7
7,30,210,808,0.0,0.0,0.0,0.7142857142857143,,0,0,0,14,0,242.0,0.0,242.3
8,5,40,156,0.375,0.375,0.375,0.75,,3,3,3,7,0,155.3,0.0,155.5
8,10,80,320,0.0,0.0,0.0,0.75,,0,0,0,9,0,193.5,0.0,193.8
8,15,120,480,0.0,0.0,0.0,0.75,,0,0,0,9,0,212.4,0.0,212.7
8,20,160,640,0.0,0.0,0.0,0.75,,0,0,0,11,0,212.4,0.0,212.7
8,25,200,792,0.0,0.0,0.0,0.75,,0,0,0,9,0,251.5,0.0,251.8
8,30,240,966,0.0,0.0,0.0,0.75,,0,0,0,9,0,234.9,0.0,235.2
9,5,45,181,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.3333333333333333,,2,2,2,7,0,188.5,0.0,188.7
9,10,90,376,0.0,0.0,0.0,0.6666666666666666,,0,0,0,9,0,187.5,0.0,187.7
9,15,135,557,0.0,0.0,0.0,0.6666666666666666,,0,0,0,9,0,204.4,0.0,204.7
9,20,180,736,0.0,0.0,0.0,0.6666666666666666,,0,0,0,9,0,225.6,0.0,225.9
9,25,225,923,0.0,0.0,0.0,0.6666666666666666,,0,0,0,9,0,216.4,0.0,216.8
9,30,270,1102,0.0,0.0,0.0,0.6666666666666666,,0,0,0,9,0,190.1,0.0,190.4
